Iteration	Posterior	Likelihood	Prior	is_irreverisible	rates[1]	rates[2]
0	-12.60432	-12.48005	-0.1242775	0	0.321608	0.161109
1	-14.98895	-11.70024	-3.288711	0	0.321608	0.632975
2	-14.85822	-12.30445	-2.553761	0	0.212015	0.632975
3	-15.31958	-13.48085	-1.83873	0	0.105393	0.632975
4	-12.73157	-12.2341	-0.4974729	0	0.304702	0.233664
5	-12.64808	-12.38322	-0.2648663	0	0.270016	0.233664
6	-13.30524	-12.07682	-1.228418	0	0.270016	0.377345
7	-12.4964	-13.15022	0.6538246	0	0.270016	0.096673
8	-12.4964	-13.15022	0.6538246	0	0.270016	0.096673
9	-12.4964	-13.15022	0.6538246	0	0.270016	0.096673
10	-16.79009	-12.04527	-4.744828	0	0.270016	0.901696
11	-15.29004	-11.9495	-3.340539	0	0.270016	0.692295
12	-13.21582	-12.10018	-1.115635	0	0.270016	0.360527
13	-12.52953	-13.24529	0.7157599	0	0.270016	0.0874375
14	-14.0504	-11.96735	-2.083049	0	0.270016	0.504784
15	-12.44719	-12.9011	0.4539129	0	0.270016	0.126483
16	-13.14121	-12.63942	-0.501785	0	0.4395	0.0995089
17	-12.45864	-12.68802	0.2293804	0	0.258949	0.171032
18	-12.54181	-12.5326	-0.009213177	0	0.258949	0.20661
19	-12.46179	-12.67932	0.2175294	0	0.258949	0.172799
20	-12.46179	-12.67932	0.2175294	0	0.258949	0.172799
21	-12.43204	-12.79324	0.3611975	0	0.258949	0.151376
22	-12.66607	-12.40461	-0.2614599	0	0.258949	0.244224
23	-16.04254	-11.08332	-4.95922	0	0.724147	0.479535
24	-17.88355	-10.90064	-6.982908	0	0.724147	0.781298
25	-13.15027	-14.98071	1.830437	0	0.0753891	0.115849
26	-14.1177	-14.14606	0.02836426	0	0.0753891	0.384566
27	-13.14625	-14.93888	1.792633	0	0.0753891	0.121486
28	-13.1931	-14.64674	1.453643	0	0.0753891	0.172035
29	-14.22005	-14.13011	-0.08994557	0	0.0753891	0.402208
30	-15.53673	-12.58542	-2.951315	0	0.180814	0.723458
31	-15.51218	-12.48088	-3.031295	0	0.19274	0.723458
32	-12.88382	-12.68108	-0.2027398	0	0.19274	0.301677
33	-15.98946	-12.51325	-3.476214	0	0.19274	0.789803
34	-13.936	-11.82437	-2.111636	0	0.578048	0.201015
35	-12.79205	-13.96378	1.171721	0	0.108953	0.18051
36	-13.16728	-11.95438	-1.212902	0	0.432153	0.212894
37	-12.55925	-12.51208	-0.04716989	0	0.258324	0.212894
38	-13.08563	-12.19331	-0.8923219	0	0.258324	0.33892
39	-13.36447	-12.11906	-1.245406	0	0.258324	0.39157
40	-13.39127	-12.0358	-1.355468	0	0.274737	0.39157
41	-12.56721	-12.46367	-0.103537	0	0.274737	0.204887
